"AIRPORT","n_rows","event_days","high_impact_days","avg_lf_pct","avg_event_lf_pct","avg_non_event_lf_pct","event_uplift_pct_pts","weekday_adjusted_event_excess","avg_high_impact_lf_pct","high_impact_uplift_pct_pts","weekday_adjusted_high_impact_excess","t_stat","p_value","event_names"
"CBR","1","0","0","46.96",,"46.96",,,,,,,,""
"CCS","397","0","0","61.31",,"61.31",,,,,,,,""
"CCU","6","0","0","45.44",,"45.44",,,,,,,,""
"CDG","574","24","0","83.63","84.82","83.58","1.24","1.06",,,,"1.302","0.203228","ANALYSE INDUSTRIELLE ; SALON DU FROMAGE ET DES PRODUITS LAITIERS ; MOBCO | SALON DU FROMAGE ET DES PRODUITS LAITIERS"
"CEB","67","0","0","21.78",,"21.78",,,,,,,,""
"CGK","574","0","0","95",,"95",,,,,,,,""
"CGN","573","9","0","77.41","66.86","77.58","-10.72","-10.3",,,,"-4.187","0.003049","EXPLORADO - Abenteuermuseum ; DinoXperience - Expedition Urzeit | DinoXperience - Expedition Urzeit | KINDERGEBURTSTAG | EXPLORADO - Abenteuermuseum ; DinoXperience - Expedition Urzeit | DinoXperience - Expedition Urzeit | KINDERGEBURTSTAG | EXPLORADO - Abenteuermuseum | THE BOSSHOSS"
"CKY","420","0","0","50.2",,"50.2",,,,,,,,""
"CKZ","2","0","0","21.56",,"21.56",,,,,,,,""
"CLE","1","0","0","95",,"95",,,,,,,,""
"CLJ","565","0","0","82.83",,"82.83",,,,,,,,""
"CLT","2","0","0","90.34",,"90.34",,,,,,,,""
"CMB","574","0","0","84.73",,"84.73",,,,,,,,""
"CMN","574","0","0","78.23",,"78.23",,,,,,,,""
"CND","240","0","0","60.89",,"60.89",,,,,,,,""
"COO","466","0","0","34.47",,"34.47",,,,,,,,""
"COV","574","0","0","85.02",,"85.02",,,,,,,,""
"CPH","573","0","0","76.8",,"76.8",,,,,,,,""
"CPT","574","0","0","91.37",,"91.37",,,,,,,,""
"CTA","569","0","0","83",,"83",,,,,,,,""
"CUN","573","0","0","22.1",,"22.1",,,,,,,,""
"CZL","317","0","0","76.23",,"76.23",,,,,,,,""
"DAC","574","0","0","85.49",,"85.49",,,,,,,,""
"DAD","1","0","0","98",,"98",,,,,,,,""
"DAM","425","0","0","85.39",,"85.39",,,,,,,,""
"DAR","573","0","0","64.56",,"64.56",,,,,,,,""
"DBV","330","0","0","68.45",,"68.45",,,,,,,,""
"DEL","574","0","0","88.14",,"88.14",,,,,,,,""
"DEN","329","0","0","77.6",,"77.6",,,,,,,,""
"DFW","574","0","0","84.21",,"84.21",,,,,,,,""
"DIY","565","107","19","88.18","87.74","88.28","-0.54","-0.65","82.96","-5.39","-5.59","-0.483","0.630121","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"DLA","513","0","0","53.62",,"53.62",,,,,,,,""
"DLM","573","114","19","79.87","81.14","79.56","1.59","1.12","77.57","-2.38","-2.87","1.972","0.05005","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"DME","15","0","0","20.96",,"20.96",,,,,,,,""
"DMM","442","0","0","66.92",,"66.92",,,,,,,,""
"DNZ","572","0","0","78.16",,"78.16",,,,,,,,""
"DOH","475","0","0","69.9",,"69.9",,,,,,,,""
"DPS","572","0","0","94.24",,"94.24",,,,,,,,""
"DSS","484","0","0","77.96",,"77.96",,,,,,,,""
"DTW","554","0","0","83.54",,"83.54",,,,,,,,""
"DUB","573","0","0","78.25",,"78.25",,,,,,,,""
"DUR","327","0","0","17.67",,"17.67",,,,,,,,""
"DUS","574","12","0","81.4","83.41","81.36","2.05","2.1",,,,"1.497","0.160231","GagStorm Comedy - Open Mic Mehrfach/Jahreskarte ; GLASSPRINT ; INTERPACK"
"DXB","474","0","0","80.95",,"80.95",,,,,,,,""
"DYU","525","0","0","83.91",,"83.91",,,,,,,,""
"EBB","571","0","0","58.97",,"58.97",,,,,,,,""
"EBL","482","0","0","75.18",,"75.18",,,,,,,,""
"ECN","574","0","0","78.93",,"78.93",,,,,,,,""
"EDI","571","2","0","83.79","89.54","83.77","5.77","7.2",,,,"10.103","0.002065","David Byrne ; Charlie Puth - Whatever's Clever! World Tour | David Byrne | Guided Walks of the Old Course | Summer Special Tours! | Verb T"
"EDO","485","0","0","76.3",,"76.3",,,,,,,,""
"ERC","558","0","0","83.56",,"83.56",,,,,,,,""
"ERZ","573","114","19","86.81","88.54","86.38","2.16","1.94","84.75","-2.14","-2.22","2.317","0.02139","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ESB","574","114","19","75.7","72.21","76.57","-4.36","-3.43","66.68","-9.34","-8.57","-5.385","0","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ETM","3","0","0","0",,"0",,,,,,,,""
"EVN","140","0","0","88.12",,"88.12",,,,,,,,""
"EWR","571","5","0","87.03","91.12","86.99","4.13","3.46",,,,"2.184","0.094366","Atlantic City Ballet Ticket + Hotel Deals | Caesars Atlantic City Ticket + Hotel Deals ; The Concert Venue at Harrahs Atlantic City Ticket + Hotel Deals ; Museum of Chinese in America Flex Admission"
"EZE","569","0","0","64.88",,"64.88",,,,,,,,""
"EZS","572","114","19","84.84","86.67","84.38","2.29","1.85","81.52","-3.43","-3.8","2.333","0.020687","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"FCO","574","0","0","81.98",,"81.98",,,,,,,,""
"FEG","132","0","0","86.87",,"86.87",,,,,,,,""
